identificador,p_desercion,resultado_modelo
130656,0.9183,Deserta
130727,0.9521,Deserta
130729,0.4137,No deserta
130767,0.0973,No deserta
130769,0.648,Deserta
130807,0.4284,No deserta
130840,0.8916,Deserta
130841,0.898,Deserta
130843,0.1864,No deserta
130842,0.0959,No deserta
130844,0.9388,Deserta
130898,0.7867,Deserta
130899,0.3179,No deserta
130902,0.0978,No deserta
130962,0.9162,Deserta
130961,0.0484,No deserta
130960,0.0249,No deserta
130979,0.0971,No deserta
130980,0.5334,Deserta
131058,0.7715,Deserta
131059,0.7662,Deserta
131138,0.5509,Deserta
131132,0.9424,Deserta
131231,0.9775,Deserta
131282,0.957,Deserta
131281,0.0456,No deserta
131277,0.0874,No deserta
131280,0.9201,Deserta
131279,0.9344,Deserta
131284,0.7965,Deserta
131298,0.2437,No deserta
131543,0.8799,Deserta
131545,0.0283,No deserta
131547,0.112,No deserta
131546,0.1007,No deserta
131551,0.1019,No deserta
131550,0.0454,No deserta
131549,0.5085,Deserta
131552,0.1756,No deserta
131553,0.3014,No deserta
131554,0.147,No deserta
131576,0.3038,No deserta
131742,0.0829,No deserta
131743,0.8358,Deserta
131741,0.7142,Deserta
131739,0.1014,No deserta
131745,0.1425,No deserta
131747,0.8914,Deserta
131746,0.7355,Deserta
132012,0.0765,No deserta
132018,0.6825,Deserta
132020,0.6624,Deserta
132016,0.1383,No deserta
132017,0.1181,No deserta
132182,0.0846,No deserta
132184,0.0664,No deserta
132190,0.9052,Deserta
132191,0.1276,No deserta
132194,0.8022,Deserta
132187,0.2495,No deserta
132189,0.8681,Deserta
132188,0.737,Deserta
132186,0.0464,No deserta
132199,0.4883,No deserta
132196,0.0655,No deserta
132197,0.9236,Deserta
132198,0.4411,No deserta
132248,0.2818,No deserta
132250,0.8915,Deserta
132449,0.159,No deserta
132450,0.053,No deserta
132452,0.872,Deserta
132448,0.819,Deserta
132451,0.884,Deserta
132454,0.91,Deserta
132457,0.2642,No deserta
132458,0.7188,Deserta
132456,0.7889,Deserta
132468,0.129,No deserta
132592,0.3966,No deserta
132632,0.8707,Deserta
132636,0.0383,No deserta
132634,0.1169,No deserta
132637,0.155,No deserta
132733,0.2728,No deserta
132732,0.9392,Deserta
132734,0.8261,Deserta
132815,0.0513,No deserta
132819,0.3067,No deserta
132818,0.9382,Deserta
132816,0.8486,Deserta
132814,0.0853,No deserta
132823,0.9356,Deserta
132822,0.0984,No deserta
132825,0.8769,Deserta
132826,0.1016,No deserta
133017,0.4832,No deserta
133033,0.9183,Deserta
133031,0.2984,No deserta
133039,0.8768,Deserta
133034,0.9297,Deserta
133038,0.8922,Deserta
133037,0.9087,Deserta
133268,0.9085,Deserta
133269,0.7662,Deserta
133265,0.0471,No deserta
133266,0.7273,Deserta
133276,0.9085,Deserta
133271,0.8769,Deserta
133274,0.2381,No deserta
133278,0.8792,Deserta
133273,0.1046,No deserta
133272,0.0452,No deserta
